   _____   _                       _   ______                                       
  / ____| | |                     | | |  ____|                                     
 | |      | |   ___    _   _    __| | | |__     _ __    __ _   _ __ ___     ___    
 | |      | |  / _ \  | | | |  / _` | |  __|   | '__|  / _` | | '_ ` _ \   / _ \
 | |____  | | | (_) | | |_| | | (_| | | |      | |    | (_| | | | | | | | |  __/
  \_____| |_|  \___/   \__,_|  \__,_| |_|      |_|     \__,_| |_| |_| |_|  \___|

16:43:57.319 [main] INFO  o.s.boot.StartupInfoLogger.logStarting 50 - Starting CFApplication v0.0.1-SNAPSHOT using Java 17.0.14 with PID 2522117 (/home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02/target/CFDATE02-0.0.1-SNAPSHOT.jar started by root in /home/jenkins/workspace/CFTestAutomation_Release/Testing/results/sgr/CFDATE02/CFDATE02)
16:44:00.023 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19840621
16:44:00.023 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19840321
16:44:00.023 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19831220
16:44:00.023 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19830919
16:44:00.024 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19830619
16:44:00.024 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19830319
16:44:00.024 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19821217
16:44:00.024 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19820916
16:44:00.024 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19820616
16:44:00.024 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19820316
16:44:00.025 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19811214
16:44:00.025 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19810913
16:44:00.025 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19810613
16:44:00.025 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19810313
16:44:00.025 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19801211
16:44:00.025 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19800910
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19800610
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19800310
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19791209
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19790908
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19790608
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19790308
16:44:00.026 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19781206
16:44:00.027 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19780905
16:44:00.027 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19780605
16:44:00.027 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19780305
16:44:00.027 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19771203
16:44:00.027 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19770902
16:44:00.027 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19770602
16:44:00.028 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19770302
16:44:00.028 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19761130
16:44:00.028 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19760830
16:44:00.028 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19760530
16:44:00.028 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19760228
16:44:00.029 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19751128
16:44:00.029 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19750828
16:44:00.029 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19750528
16:44:00.029 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19750225
16:44:00.030 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19741125
16:44:00.030 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19740825
16:44:00.030 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19740525
16:44:00.030 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19740222
16:44:00.031 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19731122
16:44:00.031 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19730822
16:44:00.031 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19730522
16:44:00.031 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19730219
16:44:00.032 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19721119
16:44:00.032 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19720819
16:44:00.032 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19720519
16:44:00.032 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19720217
16:44:00.032 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19711117
16:44:00.033 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19710817
16:44:00.033 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19710517
16:44:00.033 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19710214
16:44:00.034 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19701114
16:44:00.034 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19700814
16:44:00.034 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19700514
16:44:00.035 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19700211
16:44:00.035 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19691111
16:44:00.035 [main] INFO  c.c.app.process.impl.Cfdate02Impl.process 84 - 19690811
